id,Name,AllNbaSelections,First_Team_All_NBA,Second_Team_All_NBA,Third_Team_All_NBA,First_Team_All_ABA,Second_Team_All_ABA
abdulka01,Kareem Abdul-Jabbar,15,10,5,0,0,0
bryanko01,Kobe Bryant,15,11,2,2,0,0
duncati01,Tim Duncan,15,10,3,2,0,0
jamesle01,LeBron James,15,12,2,1,0,0
malonka01,Karl Malone,14,11,2,1,0,0
onealsh01,Shaquille O'Neal,14,8,2,4,0,0
cousybo01,Bob Cousy,12,10,2,0,0,0
ervinju01,Julius Erving,12,5,2,0,4,1
nowitdi01,Dirk Nowitzki,12,4,5,3,0,0
olajuha01,Hakeem Olajuwon,12,6,3,3,0,0
schaydo01,Dolph Schayes,12,6,6,0,0,0
westje01,Jerry West,12,10,2,0,0,0
barklch01,Charles Barkley,11,5,5,1,0,0
havlijo01,John Havlicek,11,4,7,0,0,0
jordami01,Michael Jordan,11,10,1,0,0,0
pettibo01,Bob Pettit,11,10,1,0,0,0
roberos01,Oscar Robertson,11,9,2,0,0,0
russebi01,Bill Russell,11,3,8,0,0,0
stockjo01,John Stockton,11,2,6,3,0,0
barryri01,Rick Barry,10,5,1,0,4,0
bayloel01,Elgin Baylor,10,10,0,0,0,0
birdla01,Larry Bird,10,9,1,0,0,0
chambwi01,Wilt Chamberlain,10,7,3,0,0,0
johnsma02,Magic Johnson,10,9,1,0,0,0
robinda01,David Robinson,10,4,2,4,0,0
duranke01,Kevin Durant,9,6,3,0,0,0
garneke01,Kevin Garnett,9,4,3,2,0,0
gervige01,George Gervin,9,5,2,0,0,2
paytoga01,Gary Payton,9,2,5,2,0,0
howardw01,Dwight Howard,8,5,1,2,0,0
malonmo01,Moses Malone,8,4,4,0,0,0
paulch01,Chris Paul,8,4,3,1,0,0
wadedw01,Dwyane Wade,8,2,3,3,0,0
westbru01,Russell Westbrook,8,2,5,1,0,0
ewingpa01,Patrick Ewing,7,1,6,0,0,0
greerha01,Hal Greer,7,0,7,0,0,0
iversal01,Allen Iverson,7,3,3,1,0,0
mcgratr01,Tracy McGrady,7,2,3,2,0,0
nashst01,Steve Nash,7,3,2,2,0,0
pippesc01,Scottie Pippen,7,3,2,2,0,0
sharmbi01,Bill Sharman,7,4,3,0,0,0
wilkido01,Dominique Wilkins,7,1,4,2,0,0
anthoca01,Carmelo Anthony,6,0,2,4,0,0
curryst01,Stephen Curry,6,3,2,1,0,0
fraziwa01,Walt Frazier,6,4,2,0,0,0
hardeja01,James Harden,6,5,0,1,0,0
hayesel01,Elvin Hayes,6,3,3,0,0,0
kiddja01,Jason Kidd,6,5,1,0,0,0
mikange01,George Mikan,6,6,0,0,0,0
aldrila01,LaMarcus Aldridge,5,0,2,3,0,0
architi01,Tiny Archibald,5,3,2,0,0,0
cunnibi01,Billy Cunningham,5,3,1,0,1,0
danieme01,Mel Daniels,5,0,0,0,4,1
daviebo01,Bob Davies,5,4,1,0,0,0
drexlcl01,Clyde Drexler,5,1,2,2,0,0
georgpa01,Paul George,5,1,0,4,0,0
