id,Name,Games
abdulka01,Kareem Abdul-Jabbar,18
jamesle01,LeBron James,16
bryanko01,Kobe Bryant,15
duncati01,Tim Duncan,15
garneke01,Kevin Garnett,14
nowitdi01,Dirk Nowitzki,14
jordami01,Michael Jordan,13
chambwi01,Wilt Chamberlain,13
cousybo01,Bob Cousy,13
havlijo01,John Havlicek,13
olajuha01,Hakeem Olajuwon,12
westje01,Jerry West,12
malonka01,Karl Malone,12
onealsh01,Shaquille O'Neal,12
roberos01,Oscar Robertson,12
wadedw01,Dwyane Wade,12
hayesel01,Elvin Hayes,12
russebi01,Bill Russell,12
malonmo01,Moses Malone,11
johnsma02,Magic Johnson,11
ervinju01,Julius Erving,11
bayloel01,Elgin Baylor,11
schaydo01,Dolph Schayes,11
thomais01,Isiah Thomas,11
pettibo01,Bob Pettit,11
greerha01,Hal Greer,10
birdla01,Larry Bird,10
stockjo01,John Stockton,10
anthoca01,Carmelo Anthony,10
allenra02,Ray Allen,10
robinda01,David Robinson,10
duranke01,Kevin Durant,10
piercpa01,Paul Pierce,10
arizipa01,Paul Arizin,9
paytoga01,Gary Payton,9
ewingpa01,Patrick Ewing,9
boshch01,Chris Bosh,9
westbru01,Russell Westbrook,9
drexlcl01,Clyde Drexler,9
paulch01,Chris Paul,9
iversal01,Allen Iverson,9
gervige01,George Gervin,9
barklch01,Charles Barkley,9
wilkele01,Lenny Wilkens,9
parisro01,Robert Parish,9
kiddja01,Jason Kidd,9
englial01,Alex English,8
sharmbi01,Bill Sharman,8
wilkido01,Dominique Wilkins,8
debusda01,Dave DeBusschere,8
hardeja01,James Harden,8
laniebo01,Bob Lanier,8
howardw01,Dwight Howard,8
mutomdi01,Dikembe Mutombo,8
gallaha01,Harry Gallatin,7
lucasje01,Jerry Lucas,7
cartevi01,Vince Carter,7
barryri01,Rick Barry,7
bingda01,Dave Bing,7
nashst01,Steve Nash,7
sikmaja01,Jack Sikma,7
pippesc01,Scottie Pippen,7
reedwi01,Willis Reed,7
mcgratr01,Tracy McGrady,7
aldrila01,LaMarcus Aldridge,7
mcguidi01,Dick McGuire,7
fraziwa01,Walt Frazier,7
foustla01,Larry Foust,7
whitejo01,Jo Jo White,7
mchalke01,Kevin McHale,7
macaued01,Ed Macauley,7
worthja01,James Worthy,7
walkech01,Chet Walker,7
martisl01,Slater Martin,7
irvinky01,Kyrie Irving,6
lowryky01,Kyle Lowry,6
architi01,Tiny Archibald,6
gilmoar01,Artis Gilmore,6
hillgr01,Grant Hill,6
parketo01,Tony Parker,6
yardlge01,George Yardley,6
kempsh01,Shawn Kemp,6
gueriri01,Richie Guerin,6
hudsolo01,Lou Hudson,6
daviswa03,Walter Davis,6
howelba01,Bailey Howell,6
davisan02,Anthony Davis,6
cowenda01,Dave Cowens,6
stoudam01,Amar'e Stoudemire,6
gasolpa01,Pau Gasol,6
johnsjo02,Joe Johnson,6
georgpa01,Paul George,6
mingya01,Yao Ming,6
curryst01,Stephen Curry,6
mikkeve01,Vern Mikkelsen,6
dantlad01,Adrian Dantley,6
dumarjo01,Joe Dumars,6
johnsne01,Neil Johnston,6
twymaja01,Jack Twyman,6
goodrga01,Gail Goodrich,5
ohldo01,Don Ohl,5
johnsgu01,Gus Johnson,5
moncrsi01,Sidney Moncrief,5
onealje01,Jermaine O'Neal,5
shuege01,Gene Shue,5
phillan01,Andy Phillip,5
daughbr01,Brad Daugherty,5
thompkl01,Klay Thompson,5
billuch01,Chauncey Billups,5
westppa01,Paul Westphal,5
jonessa01,Sam Jones,5
johnsma01,Marques Johnson,5
millere01,Reggie Miller,5
tomjaru01,Rudy Tomjanovich,5
hardati01,Tim Hardaway,5
heinsto01,Tom Heinsohn,5
griffbl01,Blake Griffin,5
costela01,Larry Costello,5
unselwe01,Wes Unseld,5
richmmi01,Mitch Richmond,5
johnsde01,Dennis Johnson,5
wanzebo01,Bobby Wanzer,5
thurmna01,Nate Thurmond,5
mcadobo01,Bob McAdoo,5
horfoal01,Al Horford,5
lucasma01,Maurice Lucas,4
roberal01,Alvin Robertson,4
mariosh01,Shawn Marion,4
golato01,Tom Gola,4
bakervi01,Vin Baker,4
chambto01,Tom Chambers,4
millspa01,Paul Millsap,4
daviebo01,Bob Davies,4
birdsot01,Otis Birdsong,4
mikange01,George Mikan,4
haywosp01,Spencer Haywood,4
leonaka01,Kawhi Leonard,4
wickssi01,Sidney Wicks,4
hutchme01,Mel Hutchins,4
naullwi01,Willie Naulls,4
wallabe01,Ben Wallace,4
sprewla01,Latrell Sprewell,4
walljo01,John Wall,4
lillada01,Damian Lillard,4
bellawa01,Walt Bellamy,4
webbech01,Chris Webber,4
pricema01,Mark Price,4
richami01,Micheal Ray Richardson,4
mullich01,Chris Mullin,4
walkeke02,Kemba Walker,4
braunca01,Carl Braun,4
maravpe01,Pete Maravich,4
wallara01,Rasheed Wallace,4
garmadi01,Dick Garmaker,4
cunnibi01,Billy Cunningham,4
jonesbo01,Bobby Jones,4
hagancl01,Cliff Hagan,4
hardaan01,Anfernee Hardaway,4
derozde01,DeMar DeRozan,4
hawkico01,Connie Hawkins,4
pollaji01,Jim Pollard,4
larusru01,Rudy LaRusso,4
antetgi01,Giannis Antetokounmpo,4
laimbbi01,Bill Laimbeer,4
thompda01,David Thompson,4
embrywa01,Wayne Embry,4
mournal01,Alonzo Mourning,4
greenjo01,Johnny Green,4
rodgegu01,Guy Rodgers,4
dandrbo01,Bob Dandridge,4
kingbe01,Bernard King,4
cheekma01,Maurice Cheeks,4
monroea01,Earl Monroe,4
blackro01,Rolando Blackman,4
vanardi01,Dick Van Arsdale,3
vanarto01,Tom Van Arsdale,3
arenagi01,Gilbert Arenas,3
ricegl01,Glen Rice,3
couside01,DeMarcus Cousins,3
cheniph01,Phil Chenier,3
bridgbi01,Bill Bridges,3
majerda01,Dan Majerle,3
rosede01,Derrick Rose,3
stokema01,Maurice Stokes,3
aguirma01,Mark Aguirre,3
wilkeja01,Jamaal Wilkes,3
mullije01,Jeff Mullins,3
lovebo01,Bob Love,3
jonesed02,Eddie Jones,3
risenar01,Arnie Risen,3
willibu01,Buck Williams,3
vanlino01,Norm Van Lier,3
collido01,Doug Collins,3
rondora01,Rajon Rondo,3
lovelcl01,Clyde Lovellette,3
loveke01,Kevin Love,3
francst01,Steve Francis,3
walkean02,Antoine Walker,3
seymopa01,Paul Seymour,3
scottch01,Charlie Scott,3
johnske02,Kevin Johnson,3
sampsra01,Ralph Sampson,3
gasolma01,Marc Gasol,3
nancela01,Larry Nance,3
stojape01,Peja StojakoviÄ‡,3
kauffbo01,Bob Kauffman,3
butleji01,Jimmy Butler,3
dischte01,Terry Dischinger,3
hamilri01,Richard Hamilton,3
greendr01,Draymond Green,3
embiijo01,Joel Embiid,3
kerrre01,Red Kerr,3
mcginge01,George McGinnis,3
schrede01,Detlef Schrempf,3
willide01,Deron Williams,3
ilgauzy01,Zydrunas Ilgauskas,2
rochare01,Red Rocha,2
johnsjo01,John Johnson,2
petrige01,Geoff Petrie,2
ginobma01,Manu GinÃ_bili,2
duckwke01,Kevin Duckworth,2
rodmade01,Dennis Rodman,2
roybr01,Brandon Roy,2
robingl01,Glenn Robinson,2
middlkh01,Khris Middleton,2
willigu01,Gus Williams,2
georgja01,Jack George,2
drewjo01,John Drew,2
paxsoji02,Jim Paxson,2
randoza01,Zach Randolph,2
mannida01,Danny Manning,2
denglu01,Luol Deng,2
fulksjo01,Joe Fulks,2
kenonla01,Larry Kenon,2
brianfr01,Frankie Brian,2
leverfa01,Fat Lever,2
marinja01,Jack Marin,2
thomais02,Isaiah Thomas,2
silaspa01,Paul Silas,2
theusre01,Reggie Theus,2
