id,Name,Year
goberru01,Rudy Gobert,2018-19
goberru01,Rudy Gobert,2017-18
greendr01,Draymond Green,2016-17
leonaka01,Kawhi Leonard,2015-16
leonaka01,Kawhi Leonard,2014-15
noahjo01,Joakim Noah,2013-14
gasolma01,Marc Gasol,2012-13
chandty01,Tyson Chandler,2011-12
howardw01,Dwight Howard,2010-11
howardw01,Dwight Howard,2009-10
howardw01,Dwight Howard,2008-09
garneke01,Kevin Garnett,2007-08
cambyma01,Marcus Camby,2006-07
wallabe01,Ben Wallace,2005-06
wallabe01,Ben Wallace,2004-05
artesro01,Metta World Peace,2003-04
wallabe01,Ben Wallace,2002-03
wallabe01,Ben Wallace,2001-02
mutomdi01,Dikembe Mutombo,2000-01
mournal01,Alonzo Mourning,1999-00
mournal01,Alonzo Mourning,1998-99
mutomdi01,Dikembe Mutombo,1997-98
mutomdi01,Dikembe Mutombo,1996-97
paytoga01,Gary Payton,1995-96
mutomdi01,Dikembe Mutombo,1994-95
olajuha01,Hakeem Olajuwon,1993-94
olajuha01,Hakeem Olajuwon,1992-93
robinda01,David Robinson,1991-92
rodmade01,Dennis Rodman,1990-91
rodmade01,Dennis Rodman,1989-90
eatonma01,Mark Eaton,1988-89
jordami01,Michael Jordan,1987-88
coopemi01,Michael Cooper,1986-87
roberal01,Alvin Robertson,1985-86
eatonma01,Mark Eaton,1984-85
moncrsi01,Sidney Moncrief,1983-84
moncrsi01,Sidney Moncrief,1982-83
