slug,team
abdelal01,Boston Celtics
abdulka01,Los Angeles Lakers
abdulma01,Atlanta Hawks
abdulma02,Denver Nuggets
abdulta01,Denver Nuggets
abdulza01,Houston Rockets
abdursh01,Vancouver Grizzlies
abernto01,Golden State Warriors
ablefo01,None
abrinal01,Oklahoma City Thunder
ackeral01,Detroit Pistons
ackerdo01,New York Knicks
acresma01,Orlando Magic
actonbu01,None
acyqu01,Brooklyn Nets
adamsal01,Phoenix Suns
adamsdo01,Detroit Pistons
adamsha01,New Jersey Nets
adamsja01,Atlanta Hawks
adamsjo01,Memphis Grizzlies
adamsmi01,Denver Nuggets
adamsst01,Oklahoma City Thunder
addisra01,Charlotte Hornets
adebaba01,Miami Heat
adelde01,Cleveland Cavaliers
adelmri01,None
adrieje01,Charlotte Bobcats
afflaar01,Denver Nuggets
agerma01,Dallas Mavericks
aguirma01,Dallas Mavericks
ahearbl01,Miami Heat
aingeda01,Boston Celtics
ajincal01,New Orleans Pelicans
akinhe01,New York Knicks
akognjo01,Dallas Mavericks
akoonde01,Denver Nuggets
alabiso01,Toronto Raptors
alarima01,None
alcorga01,Detroit Pistons
aldemfu01,Philadelphia 76ers
aldrico01,Minnesota Timberwolves
aldrila01,Portland Trail Blazers
aleksch01,Golden State Warriors
alexacl01,Portland Trail Blazers
alexaco01,Denver Nuggets
alexaco02,Washington Wizards
alexaga01,Cleveland Cavaliers
alexajo01,Chicago Bulls
alexavi01,Golden State Warriors
alforst01,Dallas Mavericks
alkinra01,Chicago Bulls
allenbo01,None
allengr01,Utah Jazz
allenja01,Brooklyn Nets
allenje01,Denver Nuggets
allenka01,Boston Celtics
allenla01,Indiana Pacers
allenlu01,Milwaukee Bucks
allenma01,Miami Heat
allenra01,Sacramento Kings
allenra02,Milwaukee Bucks
allento01,Memphis Grizzlies
allisod01,Golden State Warriors
allrela01,Cleveland Cavaliers
allumda01,Dallas Mavericks
almonmo01,Utah Jazz
alstode01,Philadelphia 76ers
alstora01,Houston Rockets
alumape01,Sacramento Kings
amaecjo01,Orlando Magic
amayaas01,None
aminual01,Portland Trail Blazers
amundlo01,Chicago Bulls
anderal01,Brooklyn Nets
anderan02,Oklahoma City Thunder
anderbo01,New York Knicks
anderch01,Denver Nuggets
andercl01,Los Angeles Lakers
anderda02,Portland Trail Blazers
anderda03,Houston Rockets
anderde01,Portland Trail Blazers
anderdw01,Denver Nuggets
anderer01,New York Knicks
andergr01,San Antonio Spurs
anderja01,San Antonio Spurs
anderje01,Boston Celtics
anderjj01,Utah Jazz
anderju01,Dallas Mavericks
anderke01,Boston Celtics
anderki01,Portland Trail Blazers
anderky01,San Antonio Spurs
andermi01,San Antonio Spurs
anderni01,Orlando Magic
anderri01,Houston Rockets
anderro01,Philadelphia 76ers
anderry01,New Orleans Pelicans
andersh01,New York Knicks
anderwa01,None
anderwi01,San Antonio Spurs
andrima01,Cleveland Cavaliers
anieldo01,New York Knicks
anigbik01,Indiana Pacers
anslemi01,Orlando Magic
anstech01,Dallas Mavericks
antetgi01,Milwaukee Bucks
antetko01,Dallas Mavericks
antetth01,New York Knicks
anthoca01,Denver Nuggets
anthogr01,New York Knicks
anthojo01,Miami Heat
anticpe01,Atlanta Hawks
anunoog01,Toronto Raptors
applike01,Orlando Magic
araujra01,Toronto Raptors
arcenst01,None
archiro01,Memphis Grizzlies
architi01,None
arcidry01,Chicago Bulls
ardji01,Boston Celtics
arenagi01,Washington Wizards
arizatr01,Houston Rockets
arizipa01,None
arlaujo01,Sacramento Kings
armstbj01,Chicago Bulls
armstbo01,None
armstbr01,New Jersey Nets
armstcu01,None
armstda01,Orlando Magic
armsthi01,New Orleans Hornets
armstta01,Chicago Bulls
arnelje01,None
arnetja01,None
arnzebo01,None
arroyca01,Orlando Magic
artesro01,Los Angeles Lakers
arthuda01,Denver Nuggets
arthujo01,Milwaukee Bucks
artisja01,Orlando Magic
asikom01,New Orleans Pelicans
askewvi01,Seattle Supersonics
