id,Name,League,Count
abdulka01,Kareem Abdul-Jabbar,NBA,6
jordami01,Michael Jordan,NBA,5
russebi01,Bill Russell,NBA,5
chambwi01,Wilt Chamberlain,NBA,4
jamesle01,LeBron James,NBA,4
birdla01,Larry Bird,NBA,3
ervinju01,Julius Erving,ABA,3
johnsma02,Magic Johnson,NBA,3
malonmo01,Moses Malone,NBA,3
curryst01,Stephen Curry,NBA,2
danieme01,Mel Daniels,ABA,2
duncati01,Tim Duncan,NBA,2
malonka01,Karl Malone,NBA,2
nashst01,Steve Nash,NBA,2
pettibo01,Bob Pettit,NBA,2
antetgi01,Giannis Antetokounmpo,NBA,1
barklch01,Charles Barkley,NBA,1
bryanko01,Kobe Bryant,NBA,1
cousybo01,Bob Cousy,NBA,1
cowenda01,Dave Cowens,NBA,1
cunnibi01,Billy Cunningham,ABA,1
duranke01,Kevin Durant,NBA,1
ervinju01,Julius Erving,NBA,1
garneke01,Kevin Garnett,NBA,1
gilmoar01,Artis Gilmore,ABA,1
hardeja01,James Harden,NBA,1
hawkico01,Connie Hawkins,ABA,1
haywosp01,Spencer Haywood,ABA,1
iversal01,Allen Iverson,NBA,1
mcadobo01,Bob McAdoo,NBA,1
mcginge01,George McGinnis,ABA,1
nowitdi01,Dirk Nowitzki,NBA,1
onealsh01,Shaquille O'Neal,NBA,1
olajuha01,Hakeem Olajuwon,NBA,1
reedwi01,Willis Reed,NBA,1
roberos01,Oscar Robertson,NBA,1
robinda01,David Robinson,NBA,1
rosede01,Derrick Rose,NBA,1
unselwe01,Wes Unseld,NBA,1
waltobi01,Bill Walton,NBA,1
westbru01,Russell Westbrook,NBA,1
