,age,assists,attempted_field_goals,attempted_free_throws,attempted_three_point_field_goals,blocks,defensive_rebounds,games_played,games_started,made_field_goals,made_free_throws,made_three_point_field_goals,minutes_played,name,offensive_rebounds,personal_fouls,points,positions,slug,steals,team,total_rebounds,turnovers,year
0,31.0,6.0,22.0,4.0,0.0,0.0,0.0,3.0,0.0,4.0,1.0,0.0,0.0,Curly Armstrong,0.0,6.0,9.0,"[<Position.GUARD: 'GUARD'>, <Position.FORWARD: 'FORWARD'>]",armstcu01,0.0,,0.0,0.0,1950.0
1,29.0,13.0,31.0,15.0,0.0,0.0,0.0,6.0,0.0,12.0,10.0,0.0,0.0,Cliff Barker,0.0,10.0,34.0,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],barkecl01,0.0,,0.0,0.0,1950.0
2,25.0,4.0,25.0,6.0,0.0,0.0,0.0,2.0,0.0,8.0,6.0,0.0,0.0,Leo Barnhorst,0.0,10.0,22.0,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],barnhle01,0.0,,0.0,0.0,1950.0
3,22.0,22.0,70.0,28.0,0.0,0.0,0.0,5.0,0.0,22.0,22.0,0.0,0.0,Ralph Beard,0.0,11.0,66.0,[<Position.GUARD: 'GUARD'>],beardra01,0.0,,0.0,0.0,1950.0
4,28.0,17.0,61.0,29.0,0.0,0.0,0.0,8.0,0.0,18.0,21.0,0.0,0.0,Charlie Black,0.0,38.0,57.0,"[<Position.FORWARD: 'FORWARD'>, <Position.CENTER: 'CENTER'>]",blackch01,0.0,,0.0,0.0,1950.0
5,25.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,Nelson Bobb,0.0,3.0,2.0,[<Position.POINT_GUARD: 'POINT GUARD'>],bobbne01,0.0,Team.PHILADELPHIA_WARRIORS,0.0,0.0,1950.0
6,22.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,Jake Bornheimer,0.0,2.0,2.0,"[<Position.FORWARD: 'FORWARD'>, <Position.CENTER: 'CENTER'>]",bornhja01,0.0,Team.PHILADELPHIA_WARRIORS,0.0,0.0,1950.0
7,22.0,7.0,52.0,32.0,0.0,0.0,0.0,5.0,0.0,23.0,29.0,0.0,0.0,Vince Boryla,0.0,25.0,75.0,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],borylvi01,0.0,Team.NEW_YORK_KNICKS,0.0,0.0,1950.0
8,23.0,11.0,43.0,20.0,0.0,0.0,0.0,3.0,0.0,15.0,13.0,0.0,0.0,Bob Brannum,0.0,16.0,43.0,[<Position.POWER_FORWARD: 'POWER FORWARD'>],brannbo01,0.0,,0.0,0.0,1950.0
9,22.0,19.0,68.0,38.0,0.0,0.0,0.0,5.0,0.0,28.0,29.0,0.0,0.0,Carl Braun*,0.0,21.0,85.0,"[<Position.GUARD: 'GUARD'>, <Position.FORWARD: 'FORWARD'>]",braunca01,0.0,Team.NEW_YORK_KNICKS,0.0,0.0,1950.0
10,26.0,19.0,96.0,48.0,0.0,0.0,0.0,8.0,0.0,26.0,43.0,0.0,0.0,Frankie Brian,0.0,24.0,95.0,[<Position.GUARD: 'GUARD'>],brianfr01,0.0,,0.0,0.0,1950.0
11,23.0,8.0,31.0,4.0,0.0,0.0,0.0,3.0,0.0,16.0,4.0,0.0,0.0,Jack Burmaster,0.0,7.0,36.0,[<Position.GUARD: 'GUARD'>],burmaja01,0.0,,0.0,0.0,1950.0
12,30.0,11.0,37.0,15.0,0.0,0.0,0.0,10.0,0.0,21.0,12.0,0.0,0.0,Don Carlson,0.0,19.0,54.0,"[<Position.GUARD: 'GUARD'>, <Position.FORWARD: 'FORWARD'>]",carlsdo01,0.0,Team.MINNEAPOLIS_LAKERS,0.0,0.0,1950.0
13,32.0,2.0,30.0,14.0,0.0,0.0,0.0,4.0,0.0,11.0,10.0,0.0,0.0,Bob Carpenter,0.0,6.0,32.0,"[<Position.FORWARD: 'FORWARD'>, <Position.CENTER: 'CENTER'>]",carpebo01,0.0,,0.0,0.0,1950.0
14,25.0,3.0,21.0,6.0,0.0,0.0,0.0,8.0,0.0,3.0,4.0,0.0,0.0,Jake Carter,0.0,12.0,10.0,"[<Position.FORWARD: 'FORWARD'>, <Position.CENTER: 'CENTER'>]",carteja01,0.0,,0.0,0.0,1950.0
15,32.0,52.0,68.0,46.0,0.0,0.0,0.0,11.0,0.0,23.0,38.0,0.0,0.0,Al Cervi*,0.0,36.0,84.0,[<Position.POINT_GUARD: 'POINT GUARD'>],cervial01,0.0,Team.SYRACUSE_NATIONALS,0.0,0.0,1950.0
16,24.0,4.0,26.0,13.0,0.0,0.0,0.0,8.0,0.0,7.0,5.0,0.0,0.0,Leroy Chollet,0.0,11.0,19.0,[<Position.FORWARD: 'FORWARD'>],chollle01,0.0,Team.SYRACUSE_NATIONALS,0.0,0.0,1950.0
17,28.0,14.0,109.0,30.0,0.0,0.0,0.0,8.0,0.0,33.0,25.0,0.0,0.0,Bill Closs,0.0,27.0,91.0,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],clossbi01,0.0,,0.0,0.0,1950.0
18,25.0,4.0,20.0,1.0,0.0,0.0,0.0,2.0,0.0,7.0,1.0,0.0,0.0,Jack Coleman,0.0,8.0,15.0,[<Position.POWER_FORWARD: 'POWER FORWARD'>],colemja01,0.0,Team.ROCHESTER_ROYALS,0.0,0.0,1950.0
19,26.0,6.0,10.0,6.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0,0.0,0.0,Bobby Cook,0.0,3.0,9.0,"[<Position.GUARD: 'GUARD'>, <Position.FORWARD: 'FORWARD'>]",cookbo01,0.0,,0.0,0.0,1950.0
