,All_stars,Championships,Count_dpoy,Count_finals_mvp,Count_mvp,First_Team_All_NBA,Second_Team_All_NBA,name,slug,value_over_replacement_player,year
0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Kareem Abdul-Jabbar,abdulka01,0.0,1970
1,2.0,1.0,0.0,1.0,1.0,1.0,1.0,Kareem Abdul-Jabbar,abdulka01,0.0,1971
2,3.0,1.0,0.0,1.0,2.0,2.0,1.0,Kareem Abdul-Jabbar,abdulka01,0.0,1972
3,4.0,1.0,0.0,1.0,2.0,3.0,1.0,Kareem Abdul-Jabbar,abdulka01,0.0,1973
4,5.0,1.0,0.0,1.0,3.0,4.0,1.0,Kareem Abdul-Jabbar,abdulka01,8.6,1974
5,6.0,1.0,0.0,1.0,3.0,4.0,1.0,Kareem Abdul-Jabbar,abdulka01,15.3,1975
6,7.0,1.0,0.0,1.0,4.0,5.0,1.0,Kareem Abdul-Jabbar,abdulka01,24.3,1976
7,7.0,1.0,0.0,1.0,5.0,6.0,1.0,Kareem Abdul-Jabbar,abdulka01,33.0,1977
8,8.0,1.0,0.0,1.0,5.0,6.0,2.0,Kareem Abdul-Jabbar,abdulka01,39.5,1978
9,9.0,1.0,0.0,1.0,5.0,6.0,3.0,Kareem Abdul-Jabbar,abdulka01,47.2,1979
10,10.0,2.0,0.0,1.0,6.0,7.0,3.0,Kareem Abdul-Jabbar,abdulka01,54.5,1980
11,11.0,2.0,0.0,1.0,6.0,8.0,3.0,Kareem Abdul-Jabbar,abdulka01,60.6,1981
12,12.0,3.0,0.0,1.0,6.0,8.0,3.0,Kareem Abdul-Jabbar,abdulka01,65.3,1982
13,13.0,3.0,0.0,1.0,6.0,8.0,4.0,Kareem Abdul-Jabbar,abdulka01,69.5,1983
14,14.0,3.0,0.0,1.0,6.0,9.0,4.0,Kareem Abdul-Jabbar,abdulka01,72.8,1984
15,15.0,4.0,0.0,2.0,6.0,9.0,5.0,Kareem Abdul-Jabbar,abdulka01,77.6,1985
16,16.0,4.0,0.0,2.0,6.0,10.0,5.0,Kareem Abdul-Jabbar,abdulka01,82.5,1986
17,17.0,5.0,0.0,2.0,6.0,10.0,5.0,Kareem Abdul-Jabbar,abdulka01,84.7,1987
18,18.0,6.0,0.0,2.0,6.0,10.0,5.0,Kareem Abdul-Jabbar,abdulka01,85.9,1988
19,18.0,6.0,0.0,2.0,6.0,10.0,5.0,Kareem Abdul-Jabbar,abdulka01,85.9,1989
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mark Aguirre,aguirma01,1.0,1982
21,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Mark Aguirre,aguirma01,3.6,1983
22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Mark Aguirre,aguirma01,7.699999999999999,1984
23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Mark Aguirre,aguirma01,10.299999999999999,1985
24,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Mark Aguirre,aguirma01,11.7,1986
25,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Mark Aguirre,aguirma01,15.1,1987
26,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Mark Aguirre,aguirma01,19.0,1988
27,3.0,1.0,0.0,0.0,0.0,0.0,0.0,Mark Aguirre,aguirma01,20.4,1989
28,3.0,2.0,0.0,0.0,0.0,0.0,0.0,Mark Aguirre,aguirma01,21.9,1990
29,3.0,2.0,0.0,0.0,0.0,0.0,0.0,Mark Aguirre,aguirma01,23.599999999999998,1991
30,3.0,2.0,0.0,0.0,0.0,0.0,0.0,Mark Aguirre,aguirma01,23.7,1992
31,3.0,2.0,0.0,0.0,0.0,0.0,0.0,Mark Aguirre,aguirma01,24.2,1993
32,3.0,2.0,0.0,0.0,0.0,0.0,0.0,Mark Aguirre,aguirma01,24.2,1994
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LaMarcus Aldridge,aldrila01,0.2,2007
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LaMarcus Aldridge,aldrila01,1.7,2008
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LaMarcus Aldridge,aldrila01,4.2,2009
36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LaMarcus Aldridge,aldrila01,6.5,2010
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LaMarcus Aldridge,aldrila01,9.9,2011
38,1.0,0.0,0.0,0.0,0.0,0.0,0.0,LaMarcus Aldridge,aldrila01,12.4,2012
39,2.0,0.0,0.0,0.0,0.0,0.0,0.0,LaMarcus Aldridge,aldrila01,14.7,2013
40,3.0,0.0,0.0,0.0,0.0,0.0,0.0,LaMarcus Aldridge,aldrila01,17.4,2014
41,4.0,0.0,0.0,0.0,0.0,0.0,1.0,LaMarcus Aldridge,aldrila01,20.5,2015
42,5.0,0.0,0.0,0.0,0.0,0.0,1.0,LaMarcus Aldridge,aldrila01,23.0,2016
43,5.0,0.0,0.0,0.0,0.0,0.0,1.0,LaMarcus Aldridge,aldrila01,24.7,2017
44,6.0,0.0,0.0,0.0,0.0,0.0,2.0,LaMarcus Aldridge,aldrila01,28.4,2018
45,7.0,0.0,0.0,0.0,0.0,0.0,2.0,LaMarcus Aldridge,aldrila01,31.0,2019
46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ray Allen,allenra02,1.2,1997
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ray Allen,allenra02,3.7,1998
48,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Ray Allen,allenra02,5.6,1999
49,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Ray Allen,allenra02,9.899999999999999,2000
50,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Ray Allen,allenra02,15.799999999999999,2001
51,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Ray Allen,allenra02,20.2,2002
52,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Ray Allen,allenra02,24.299999999999997,2003
53,5.0,0.0,0.0,0.0,0.0,0.0,0.0,Ray Allen,allenra02,27.499999999999996,2004
54,6.0,0.0,0.0,0.0,0.0,0.0,1.0,Ray Allen,allenra02,32.3,2005
55,7.0,0.0,0.0,0.0,0.0,0.0,1.0,Ray Allen,allenra02,37.199999999999996,2006
56,8.0,0.0,0.0,0.0,0.0,0.0,1.0,Ray Allen,allenra02,40.4,2007
57,9.0,1.0,0.0,0.0,0.0,0.0,1.0,Ray Allen,allenra02,43.699999999999996,2008
58,9.0,1.0,0.0,0.0,0.0,0.0,1.0,Ray Allen,allenra02,47.99999999999999,2009
59,9.0,1.0,0.0,0.0,0.0,0.0,1.0,Ray Allen,allenra02,50.29999999999999,2010
60,10.0,1.0,0.0,0.0,0.0,0.0,1.0,Ray Allen,allenra02,53.89999999999999,2011
61,10.0,1.0,0.0,0.0,0.0,0.0,1.0,Ray Allen,allenra02,55.49999999999999,2012
62,10.0,2.0,0.0,0.0,0.0,0.0,1.0,Ray Allen,allenra02,56.699999999999996,2013
63,10.0,2.0,0.0,0.0,0.0,0.0,1.0,Ray Allen,allenra02,57.49999999999999,2014
