,Player,Pos_x,Age_x,Tm_x,G_x,MP_x,FG%_x,Dist.,%_of FGA_2P,%_of FGA_0-3,%_of FGA_3-10,%_of FGA_10-16,%_of FGA_16-3P,%_of FGA_3P,FG%_2P,FG%_0-3,FG%_3-10,FG%_10-16,FG%_16-3P,FG%_3P,%_Ast’d_2P,%_Ast’d_3P,%FGA_Dunks,#_Dunks,%3PA_Corner,3P%_Corner,Heaves_Att.,#_Heaves,Rk,Pos_y,Age_y,Tm_y,G_y,GS,MP_y,FG,FGA,FG%_y,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,0-3_attempts,3-10_attempts,10-16_attempts,16-3P_attempts,midrange_attempts,corner_3_attempts,0-3_made,3-10_made,10-16_made,16-3P_made,midrange_made,corner_3_made,EFG%_3P,PPS_0-3,PPS_3-10,PPS_10-16,PPS_16-3P,PPS_midrange,PPS_3P
4,LaMarcus Aldridge,C,35,TOT,26,674,0.473,15.5,0.73,0.152,0.122,0.152,0.304,0.27,0.505,0.622,0.472,0.444,0.489,0.388,0.688,0.968,0.044,12,0.175,0.429,0,0,5,C,35,TOT,26,23,674,140,296,0.473,31,80,0.388,109,216,0.505,0.525,41,47,0.872,19,99,118,49,11,29,27,47,352,44.992,36.112,44.992,89.984,134.976,14.0,27.985024,17.044864,19.976448000000000,44.002176,63.978624000000000,6.006,0.5820000000000000,1.244,0.944,0.888,0.978,0.948,1.1640000000000000
6,Nickeil Alexander-Walker,SG,22,NOP,46,1007,0.419,15.5,0.522,0.236,0.164,0.041,0.081,0.478,0.485,0.481,0.52,0.421,0.459,0.347,0.345,0.921,0.015,7,0.283,0.387,1,1,7,SG,22,NOP,46,13,1007,192,458,0.419,76,219,0.347,116,239,0.485,0.502,48,66,0.727,13,131,144,102,47,22,69,88,508,108.088,75.11200000000000,18.778000000000000,37.098,55.876000000000000,61.977,51.990328,39.058240000000000,7.905538000000000,17.027982,24.93352,23.985099000000000,0.5205,0.962,1.04,0.842,0.918,0.8924590163934430,1.041
7,Grayson Allen,SG,25,MEM,50,1259,0.418,19.2,0.338,0.123,0.126,0.07,0.019,0.662,0.471,0.667,0.365,0.414,0.125,0.391,0.606,0.907,0.029,11,0.172,0.34,0,0,8,SG,25,MEM,50,38,1259,173,414,0.418,107,274,0.391,66,140,0.471,0.547,79,91,0.868,19,141,160,108,46,8,48,71,532,50.922,52.164,28.980000000000000,7.866,36.846000000000000,47.12800000000000,33.964974,19.03986,11.997720000000000,0.98325,12.980970000000000,16.023520000000000,0.5865,1.334,0.73,0.828,0.25,0.7046067415730340,1.173
10,Kyle Anderson,PF,27,MEM,69,1887,0.468,14.8,0.603,0.158,0.22,0.149,0.076,0.397,0.539,0.654,0.497,0.541,0.42,0.36,0.449,0.862,0.012,7,0.425,0.369,1,0,11,PF,27,MEM,69,69,1887,308,658,0.468,94,261,0.36,214,397,0.539,0.54,144,184,0.783,52,344,396,250,84,57,86,120,854,103.964,144.76,98.042,50.008000000000000,148.05,110.925,67.992456,71.94572,53.040722,21.003360000000000,74.044082,40.931325,0.54,1.308,0.994,1.082,0.84,1.0002577777777800,1.08
11,Giannis Antetokounmpo,PF,26,MIL,61,2013,0.569,9.5,0.799,0.451,0.193,0.094,0.062,0.201,0.636,0.837,0.401,0.359,0.324,0.303,0.428,0.299,0.169,178,0.045,0.3,0,0,12,PF,26,MIL,61,61,2013,626,1100,0.569,67,221,0.303,559,879,0.636,0.6,398,581,0.685,97,574,671,357,72,73,207,168,1717,496.1,212.3,103.4,68.2,171.60000000000000,9.945,415.2357,85.13230000000000,37.1206,22.0968,59.217400000000000,2.9835,0.4545,1.674,0.802,0.718,0.648,0.6901794871794870,0.909
14,Carmelo Anthony,PF,36,POR,69,1690,0.421,18.1,0.582,0.062,0.08,0.236,0.205,0.418,0.429,0.5,0.403,0.448,0.396,0.409,0.278,0.782,0.012,8,0.197,0.438,0,0,15,PF,36,POR,69,3,1690,327,777,0.421,133,325,0.409,194,452,0.429,0.506,137,154,0.89,32,182,214,104,46,38,61,144,924,48.174,62.160000000000000,183.37200000000000,159.285,342.657,64.025,24.087,25.050480000000000,82.150656,63.07686,145.227516,28.04295,0.6135000000000000,1.0,0.806,0.896,0.792,0.8476553287981860,1.2270000000000000
15,Cole Anthony,PG,20,ORL,47,1273,0.397,13.3,0.688,0.185,0.292,0.129,0.083,0.312,0.424,0.588,0.298,0.493,0.391,0.337,0.112,0.621,0.013,4,0.093,0.313,0,0,16,PG,20,ORL,47,34,1273,219,552,0.397,58,172,0.337,161,380,0.424,0.449,109,131,0.832,38,183,221,192,30,18,106,98,605,102.12,161.184,71.208,45.816,117.024,15.996,60.04656,48.032832,35.105544,17.914056000000000,53.019600000000000,5.006748,0.5055000000000000,1.176,0.596,0.986,0.782,0.9061320754716980,1.0110000000000000
16,OG Anunoby,SF,23,TOR,43,1433,0.48,14.8,0.497,0.256,0.173,0.04,0.027,0.503,0.562,0.759,0.344,0.381,0.357,0.398,0.51,0.971,0.116,55,0.467,0.41,1,0,17,SF,23,TOR,43,43,1433,249,519,0.48,104,261,0.398,145,258,0.562,0.58,80,102,0.784,54,183,237,94,66,32,75,114,682,132.864,89.78700000000000,20.76,14.013,34.773,121.887,100.843776,30.886728000000000,7.909560000000000,5.002641,12.912201,49.97367,0.597,1.518,0.688,0.762,0.714,0.7426567164179100,1.194
19,D.J. Augustin,PG,33,TOT,57,1129,0.394,19.0,0.367,0.146,0.102,0.073,0.047,0.633,0.413,0.54,0.371,0.28,0.313,0.382,0.212,0.711,0.0,0,0.194,0.31,0,0,20,PG,33,TOT,57,12,1129,135,343,0.394,83,217,0.382,52,126,0.413,0.515,85,94,0.904,20,74,94,188,28,1,65,56,438,50.078000000000000,34.986,25.039000000000000,16.121,41.16,42.098,27.04212,12.979806000000000,7.0109200000000000,5.045873000000000,12.056793000000000,13.050380000000000,0.573,1.08,0.742,0.56,0.626,0.58585,1.146
20,Deni Avdija,SF,20,WAS,54,1257,0.417,16.6,0.462,0.144,0.237,0.045,0.035,0.538,0.535,0.733,0.473,0.214,0.545,0.315,0.727,0.962,0.048,11,0.274,0.283,1,0,21,SF,20,WAS,54,32,1257,130,312,0.417,53,168,0.315,77,144,0.535,0.502,29,45,0.644,22,240,262,63,32,15,33,140,342,44.928,73.944,14.04,10.920000000000000,24.96,46.032000000000000,32.932224,34.975512,3.0045600000000000,5.951400000000000,8.955960000000000,13.027056,0.47250000000000000,1.466,0.946,0.428,1.09,0.7176250000000000,0.9450000000000000
